id,kind,label,lat,lon,window_start,window_end,radius_km,control_for,source,bg_median,bg_std,n_valid_days,n_hot_days,recon_hf,engine_z,engine_hf,engine_n_obs,max_day_z,peak_aai,fired_in_window,peak_start,peak_end,fired_in_peak,max_z_in_peak,peak_aai_in_peak,peak_firms_pixels,error
quebec_2023,fire,Quebec wildfires (Canada),49.7,-76.0,2023-05-27,2023-06-14,5,,"2023 Canadian wildfire season; Quebec mega-fires, NASA FIRMS",-0.16116281103797714,0.05876231240206212,18,10,0.5555555555555556,1.0424840103036075,0.5555555555555556,18,23.007923415848264,1.1908359724468185,True,2023-06-01,2023-06-08,True,23.007923415848264,1.1908359724468185,101.0,
bayarea_2020,fire,SF Bay Area smoke (California),37.7,-122.2,2020-09-04,2020-09-22,5,,Aug–Sep 2020 CA complex (CZU/SCU/Creek); 'orange sky' day 2020-09-09,1.3470741765173309,0.19242436651231312,18,6,0.3333333333333333,0.8716592649818687,0.3333333333333333,18,34.7734350742707,8.03833039214092,True,2020-09-09,2020-09-16,True,34.7734350742707,8.03833039214092,,
nsw_2019,fire,NSW Black Summer (Australia),-35.5,150.0,2019-12-25,2020-01-10,5,,2019–20 Australian Black Summer; NSW south coast peak NYE 2019,1.0274028132879647,0.3891871661246494,16,3,0.1875,-0.8458357629502629,0.1875,16,15.228458787921278,6.95412353340506,True,2019-12-30,2020-01-04,True,8.739507211224293,4.428706858150284,2588.0,
dixie_2021,fire,Dixie Fire (N. California),40.0,-121.2,2021-07-31,2021-08-21,5,,"2021 Dixie Fire, Plumas/Lassen; FIRMS",2.1799081976324435,0.665681446804152,21,7,0.3333333333333333,0.7147685499570977,0.3333333333333333,21,7.165765641343498,6.9500254372214645,True,2021-08-05,2021-08-15,True,7.165765641343498,6.9500254372214645,6439.0,
greece_2023,fire,Evros wildfires (NE Greece),41.0,26.2,2023-08-16,2023-09-03,5,,2023 Evros/Alexandroupolis wildfires; largest EU fire on record,0.2070713684222317,0.2808858508949997,18,4,0.2222222222222222,0.43686922408508594,0.2222222222222222,18,7.156862520201587,2.2173327871475865,True,2023-08-21,2023-08-28,True,7.156862520201587,2.2173327871475865,2017.0,
godzilla_2020,dust,'Godzilla' Saharan plume (Puerto Rico),18.2,-66.5,2020-06-17,2020-07-01,5,,June 2020 record Saharan Air Layer transport to Caribbean,-0.8179737580935532,0.16771268337406425,14,7,0.5,0.611243692412407,0.5,14,8.519678556960994,0.6108843941788505,True,2020-06-22,2020-06-25,True,8.519678556960994,0.6108843941788505,,
beijing_2021,dust,Beijing dust storm (China),39.9,116.4,2021-03-10,2021-03-22,5,,2021-03-15 worst Beijing sandstorm in a decade (Mongolian dust),-0.551382565924605,0.04676859235948338,12,3,0.25,-0.31438292821407793,0.25,12,30.487658026972053,0.8744822843341823,True,2021-03-15,2021-03-16,True,12.252978485119083,0.021671990035449618,,
baghdad_2022,dust,Iraq sandstorm (Baghdad),33.3,44.4,2022-05-10,2022-05-24,5,,May 2022 Iraq sandstorm season (repeated regional events),1.7362144262901194,0.11322600199332189,14,7,0.5,-0.1706946391872994,0.5,14,22.583541234277607,4.293258511098703,True,2022-05-15,2022-05-18,True,9.995365414696519,2.867949690658528,,
phoenix_2021,dust,"Monsoon haboob (Phoenix, AZ)",33.4,-112.0,2021-07-04,2021-07-16,5,,2021-07-09/10 Arizona monsoon haboob,0.763712647968501,0.13381990034181757,12,6,0.5,1.1325462429560273,0.5,12,6.478046308753406,1.630604159415561,True,2021-07-09,2021-07-10,False,1.1813413282519445,0.9217996267848466,,
dakar_2021,dust,Sahel/Bodélé dust outbreak (Dakar),14.7,-17.4,2021-03-08,2021-03-23,5,,March 2021 West-African dust outbreak (Bodélé source),-0.7055083807308689,0.098568357129076,14,2,0.14285714285714285,-3.3875711580941665,0.14285714285714285,14,6.409347311823061,-0.07374954593481023,True,2021-03-13,2021-03-17,True,6.409347311823061,-0.07374954593481023,,
quebec_2023_ctrl,control,Quebec — pre-season control,49.7,-76.0,2023-05-01,2023-05-31,5,quebec_2023,"~1 month before Quebec fires; snowmelt season, no active fire",-0.3389351801115549,0.05364990782727797,30,14,0.4666666666666667,0.6413690715699634,0.4666666666666667,30,16.42201880659283,0.5421046151999759,True,,,False,,,,
bayarea_2020_ctrl,control,Bay Area — pre-siege control,37.7,-122.2,2020-07-15,2020-08-14,5,bayarea_2020,Before the 2020-08-16 lightning siege; clear summer air,-1.4874005570911313,0.27017931102782133,30,6,0.2,0.7679836302538462,0.2,30,10.357562281530674,1.3109984840605757,True,,,False,,,,
godzilla_2020_ctrl,control,Puerto Rico — control,18.2,-66.5,2020-05-15,2020-06-14,5,godzilla_2020,Before the June plume (note: minor SAL dust is near-continuous in summer),-1.3317788374646886,0.21193289021175926,30,9,0.3,-0.005473297380754911,0.3,30,4.388142923141945,-0.40178702510093844,True,,,False,,,,
beijing_2021_ctrl,control,Beijing — winter control,39.9,116.4,2021-02-01,2021-03-03,5,beijing_2021,~1 month before the March dust storm,-0.9033187767670012,0.040171555904554866,30,12,0.4,-0.4608078459123712,0.4,30,31.572746602964624,0.36500757845433696,True,,,False,,,,
phoenix_2021_ctrl,control,Phoenix — pre-monsoon control,33.4,-112.0,2021-06-01,2021-07-01,5,phoenix_2021,Dry pre-monsoon; no haboob activity,-0.7012479503119317,0.12507027803340262,29,11,0.3793103448275862,1.2015664175982248,0.3793103448275862,29,14.4106956621273,1.1011017628050785,True,,,False,,,,
